target	aggregation	rmse.rp	r.pearson.rp	spearman.rp
's-Gravenhage	Area-Sector-Precursor	0.750517303123171	0.973898301186551	0.944578793520066
's-Gravenhage	Area-Sector	2.01212187148025	0.960043312268164	0.95
's-Gravenhage	Sector	3.19819850454734	0.966311960871774	1
's-Gravenhage	Area	4.52782401686588	0.994446017501633	1
's-Gravenhage	Base case	0	NA	NA
A Coruna	Area-Sector-Precursor	1.27922463767872	0.775609298283187	0.8825320056899
A Coruna	Area-Sector	2.92110230328226	0.806765340734695	0.846428571428571
A Coruna	Sector	6.30197154492429	0.777384260212518	0.8
A Coruna	Area	6.03074266965659	0.00620807397096277	0.5
A Coruna	Base case	0	NA	NA
Alicante	Area-Sector-Precursor	0.827451367899217	0.675983115909428	0.872944523470839
Alicante	Area-Sector	2.14213374693235	0.607925893007248	0.65
Alicante	Sector	4.89546007627837	0.186781284111695	0.8
Alicante	Area	4.83608958905009	0.892856582276077	0.5
Alicante	Base case	0	NA	NA
Amsterdam	Area-Sector-Precursor	0.515065966928287	0.982894210719253	0.942870861035205
Amsterdam	Area-Sector	1.36753886355862	0.973593649540118	0.938345864661654
Amsterdam	Sector	2.49754186122569	0.993844774572331	1
Amsterdam	Area	4.71640277291686	0.993571949339144	1
Amsterdam	Base case	0	NA	NA
Angers	Area-Sector-Precursor	0.715663284394263	0.932383099634624	0.889657634740382
Angers	Area-Sector	1.82979904656332	0.885650108730691	0.831578947368421
Angers	Sector	3.58756738783244	0.834330400896544	0.7
Angers	Area	2.41540644879808	0.993317349198573	1
Angers	Base case	0	NA	NA
Antwerpen	Area-Sector-Precursor	0.786290288048209	0.966259678664047	0.960853485064011
Antwerpen	Area-Sector	1.45763504303269	0.985068848280428	0.925
Antwerpen	Sector	2.91862627260504	0.979644069937357	1
Antwerpen	Area	3.60797651327044	0.995986460597468	1
Antwerpen	Base case	0	NA	NA
Arhus	Area-Sector-Precursor	0.60153447936854	0.96617530436238	0.884392439243924
Arhus	Area-Sector	1.5603766358328	0.934986308612222	0.827067669172932
Arhus	Sector	3.45731127290546	0.972087571998844	0.7
Arhus	Area	3.52597218677792	0.999726310535598	1
Arhus	Base case	0	NA	NA
Athina	Area-Sector-Precursor	1.03933997700852	0.817428956364554	0.804772938551888
Athina	Area-Sector	2.21662636369409	0.820407759093352	0.930827067669173
Athina	Sector	5.26941561495182	0.938456660435572	0.7
Athina	Area	8.88001263777434	0.692641583299943	0.8
Athina	Base case	0	NA	NA
Augsburg	Area-Sector-Precursor	0.749294493942994	0.94643619954948	0.935611206362259
Augsburg	Area-Sector	2.12147173212462	0.844271041226957	0.767857142857143
Augsburg	Sector	3.33425501145237	0.941497818972484	0.9
Augsburg	Area	7.70419926690091	0.704918898947342	1
Augsburg	Base case	0	NA	NA
Barcelona	Area-Sector-Precursor	1.25341903949962	0.584624165343756	0.792837662282783
Barcelona	Area-Sector	3.42662975112358	0.512456008437575	0.757894736842105
Barcelona	Sector	6.94141427287301	-0.445942228818826	-0.3
Barcelona	Area	12.3353445377958	0.417965013264374	0.2
Barcelona	Base case	0	NA	NA
Bari	Area-Sector-Precursor	0.437603127368385	0.983377779341246	0.924153627311522
Bari	Area-Sector	1.01272164926059	0.976600367023227	0.867857142857143
Bari	Sector	1.60544029258546	0.991769589068424	0.9
Bari	Area	3.36703197478645	0.951226944213196	1
Bari	Base case	0	NA	NA
Belfast	Area-Sector-Precursor	0.816732296717919	0.897518072114091	0.913488263822642
Belfast	Area-Sector	1.8464450025954	0.858784489680282	0.827067669172932
Belfast	Sector	5.16000240353468	0.865944163479255	0.7
Belfast	Area	3.80540763520638	0.968964920175991	1
Belfast	Base case	0	NA	NA
Berlin	Area-Sector-Precursor	1.07600758399349	0.885337669468633	0.936128846498217
Berlin	Area-Sector	2.51357567326399	0.833682984796382	0.897744360902256
Berlin	Sector	5.64356209625137	0.826618952474788	0.9
Berlin	Area	3.8836455530852	0.945296328536588	0.8
Berlin	Base case	0	NA	NA
Bialystok	Area-Sector-Precursor	1.07871278052661	0.900410166854057	0.933172119487909
Bialystok	Area-Sector	2.54619501966582	0.863213356345038	0.696428571428571
Bialystok	Sector	4.27366681650043	0.906908319835137	0.8
Bialystok	Area	7.3042430022856	0.764039922697095	0.5
Bialystok	Base case	0	NA	NA
Bilbao	Area-Sector-Precursor	3.21588421599565	0.43291550372878	0.882076813655761
Bilbao	Area-Sector	3.05385012924543	0.938158812322477	0.932142857142857
Bilbao	Sector	6.30022951694688	0.887295440627615	0.9
Bilbao	Area	7.28025137987899	0.985301726002127	1
Bilbao	Base case	0	NA	NA
Bologna	Area-Sector-Precursor	1.29878862615302	0.787753579501723	0.871806543385491
Bologna	Area-Sector	3.27770595306792	0.552937544779798	0.582142857142857
Bologna	Sector	4.85467616889094	0.455107532884119	0.3
Bologna	Area	8.96531129029169	0.790728098592496	1
Bologna	Base case	0	NA	NA
Bonn	Area-Sector-Precursor	0.994506636263646	0.947373933356971	0.954729407772425
Bonn	Area-Sector	2.81958572410439	0.904799183346509	0.917857142857143
