Source apportionment for 150 cities
commit 6a045405445885d5976afee7b0f674567d072dd9
emissions cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/chimere/BC_emi_PM25_Y.nc
concentrations cdf = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/chimere/BC_conc_PM25_Y.nc
model folder = Z:/pisonen/SHERPA/pm25_slidingWindows_emepChimere/chimere/SR_PM25_Y.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere;PM25;Graz;Graz_FUA;10;NH3;2.192339e-01;1.527384e+00;1.038640e-04;1.435355e+01;1.096169e-01;1.055389e+03
sherpa_chimere;PM25;Graz;Graz_FUA;10;NMVOC;1.355271e-05;9.442060e-05;3.040979e-06;1.435355e+01;6.776355e-06;2.228347e+00
sherpa_chimere;PM25;Graz;Graz_FUA;10;NOx;5.661533e-06;3.944343e-05;5.117368e-05;1.435355e+01;2.830767e-06;5.531685e-02
sherpa_chimere;PM25;Graz;Graz_FUA;10;PPM;1.947905e-02;1.357089e-01;4.219964e-04;1.435355e+01;9.739523e-03;2.307964e+01
sherpa_chimere;PM25;Graz;Graz_FUA;10;SOx;6.191277e-06;4.313411e-05;5.223917e-05;1.435355e+01;3.095638e-06;5.925896e-02
sherpa_chimere;PM25;Graz;Graz_FUA;1;NH3;4.440787e-03;3.093859e-02;8.676678e-05;1.435355e+01;2.220394e-03;2.559037e+01
sherpa_chimere;PM25;Graz;Graz_FUA;1;NMVOC;8.834502e-04;6.154924e-03;2.178109e-06;1.435355e+01;4.417251e-04;2.028021e+02
sherpa_chimere;PM25;Graz;Graz_FUA;1;NOx;9.531805e-02;6.640729e-01;3.800665e-05;1.435355e+01;4.765903e-02;1.253965e+03
sherpa_chimere;PM25;Graz;Graz_FUA;1;PPM;7.300521e-02;5.086212e-01;3.051770e-04;1.435355e+01;3.650260e-02;1.196113e+02
sherpa_chimere;PM25;Graz;Graz_FUA;1;SOx;3.109236e-02;2.166179e-01;4.109127e-05;1.435355e+01;1.554618e-02;3.783329e+02
sherpa_chimere;PM25;Graz;Graz_FUA;2;NH3;8.575436e-03;5.974434e-02;2.632711e-04;1.435355e+01;4.287718e-03;1.628632e+01
sherpa_chimere;PM25;Graz;Graz_FUA;2;NMVOC;1.155877e-02;8.052899e-02;8.574715e-06;1.435355e+01;5.779386e-03;6.740032e+02
sherpa_chimere;PM25;Graz;Graz_FUA;2;NOx;1.033934e-01;7.203330e-01;1.583432e-04;1.435355e+01;5.169669e-02;3.264849e+02
sherpa_chimere;PM25;Graz;Graz_FUA;2;PPM;2.472159e-01;1.722333e+00;7.261872e-04;1.435355e+01;1.236080e-01;1.702150e+02
sherpa_chimere;PM25;Graz;Graz_FUA;2;SOx;2.401156e-02;1.672865e-01;1.253253e-04;1.435355e+01;1.200578e-02;9.579691e+01
sherpa_chimere;PM25;Graz;Graz_FUA;3;NH3;3.148123e-03;2.193271e-02;9.947159e-05;1.435355e+01;1.574061e-03;1.582423e+01
sherpa_chimere;PM25;Graz;Graz_FUA;3;NMVOC;1.105586e-03;7.702524e-03;2.809498e-06;1.435355e+01;5.527929e-04;1.967586e+02
